啊 aakk
酿 nlyl
鸟 dnpa
尿 nnuu
捏 npft
聂 npey
孽 npcz
啮 npkk
镊 npjy
镍 npjm
涅 npdt
您 nbrx
柠 nkmd
狞 nkqd
凝 nkdr
宁 nkbd
拧 nkfd
泞 nkdd
牛 nqpl
扭 nqfi
钮 nqji
纽 nqsi
脓 nson
浓 nsdn
农 nsdn
弄 lswc
奴 nuny
努 nunl
怒 nunx
女 nvva
暖 nroy
虐 ntha
疟 ntba
挪 nofe
懦 noxe
糯 nome
诺 noyk
哦 eekw
欧 oukr
鸥 oukn
殴 ouky
藕 oucy
呕 oukx
偶 oury
沤 oudx
啪 pakb
趴 pazb
爬 pavb
帕 pajb
怕 paxb
琶 pawb
拍 pdfb
排 pdff
牌 pdpu
徘 pdif
湃 pddf
派 pddn
攀 pjmu
潘 pjdt
盘 pjvm
磐 pjvu
盼 pjod
畔 pjtb
判 pjbd
叛 pjby
乓 phqd
庞 phgl
旁 phwf
耪 phlf
胖 phob
抛 pcfl
咆 pcks
刨 bcbd
炮 bchs
袍 pcps
跑 pczs
泡 pcds
呸 pwka
胚 pwoa
培 pwtk
裴 pwfy
赔 pwkk
陪 pwek
配 pwyj
佩 pwrj
沛 pwdl
喷 pfkr
盆 pfbm
砰 pgup
抨 pgfp
烹 pgwh
澎 pgdp
彭 bhup
蓬 pgcz
棚 pgmo
硼 pguo
篷 pgvz
膨 pgop
朋 pgoo
鹏 pgon
捧 pgfl
碰 pguy
坯 pitp
砒 piub
霹 piyu
批 pifb
披 pify
劈 piud
琵 piwb
毗 pitb
啤 piku
脾 piou
疲 piby
皮 pivy
匹 pike
痞 pibk
僻 piru
屁 piub
譬 piuk
篇 pmvc
偏 pmrc
片 pmpv
骗 pmmc
飘 pnxx
漂 pndx
瓢 pnxg
票 pnxx
撇 ppfw
瞥 ppdo
拼 pbfk
频 pbvr
贫 pbbr
品 pbkk
聘 pbev
乒 pkqp
坪 pktp
苹 pgcp
萍 pkcp
平 pkau
凭 pkrj
瓶 pkbw
评 pkyp
屏 bkuk
坡 poty
泼 podd
颇 povr
婆 podn
破 pouy
魄 pobg
迫 pdzb
粕 pomb
剖 pzld
扑 pufb
铺 pujf
仆 purb
莆 pucf
葡 pucf
菩 puck
蒲 pucf
埔 butf
朴 pnmb
圃 pukf
普 pubo
浦 pudf
谱 puyo
曝 bcou
瀑 pudu
期 jiqo
欺 qiqr
栖 qimx
戚 qiwx
妻 qian
七 qiav
凄 qidn
漆 qidu
柒 qidm
沏 qidd
其 jiqb
棋 qimb
奇 qidk
歧 qivy
畦 qitt
崎 qiek
脐 qiol
齐 qiwl
旗 qifb
祈 qipj
祁 qipe
骑 qimk
起 qitj
岂 qiej
乞 qipv
企 qirv
启 qihk
契 qifd
砌 qiud
器 qikk
气 qipv
迄 qizq
弃 qiwc
汽 qidq
泣 qidl
讫 qiyq
掐 qxfj
恰 qxxk
洽 qxdk
牵 qmdn
扦 qmfq
钎 qmjq
铅 qmjk
千 qmpu
迁 qmzq
签 qmva
仟 qmrq
谦 qmyn
乾 qmuq
黔 qmhv
钱 qmjj
钳 qmjg
前 qmbd
潜 qmdo
遣 qmzk
浅 qmdj
谴 qmyz
堑 qmit
嵌 qmer
欠 qmdr
歉 qmbr
枪 qlmv
呛 qlkv
腔 qlog
羌 qlyv
墙 qltk
蔷 qlck
强 jlgi
抢 igfv
橇 qnmm
锹 qnjh
敲 qnwy
悄 qnxo
桥 qnml
瞧 qnoh
乔 qnyl
侨 qnrl
巧 qngv
鞘 qngo
撬 qnfm
翘 qnax
峭 qneo
俏 qnro
窍 qnbv
切 qpqd
茄 jxck
且 jula
怯 qpxs
窃 qpbd
钦 qbjr
侵 qbry
亲 qklm
秦 qbfh
琴 qbwv
勤 qbnl
芹 qbcj
擒 qbfd
禽 qbrd
寝 qbby
沁 qbdx
青 qkfo
轻 qkig
氢 qkqg
倾 qkrr
卿 qkpe
清 qkdo
擎 qkcu
晴 qkoo
氰 qkqo
情 qkxo
顷 qkbr
请 qkyo
庆 qkgd
琼 qswx
穷 qsbl
秋 qqhh
丘 qqpa
邱 qqqe
球 qqwq
求 qqad
囚 qqkr
酋 qqby
泅 qqdr
趋 qute
区 oukx
蛆 quiq
曲 qula
躯 quux
屈 quui
驱 qumx
渠 qudm
取 quey
娶 quen
龋 quvy
趣 quty
去 quts
圈 jrkv
颧 qrcr
权 qrmy
醛 qryw
泉 qrbu
全 qrrw
痊 qrbw
拳 qrju
犬 qrdd
券 qrjd
劝 qryl
缺 qtfg
炔 qthg
瘸 qtbr
却 qtte
鹊 qtcn
榷 qtmf
确 qtuy
雀 qnuf
裙 qypk
群 qyyy
然 rjph
燃 rjhh
冉 rjla
染 rjdm
瓤 rhwg
壤 rhty
攘 rhfy
嚷 rhky
让 rhyu
饶 rcuw
扰 rcfy
绕 rcsw
惹 recx
热 refh
壬 rfqa
仁 rfre
人 rfpn
忍 rfrx
韧 rfwr
任 rfrr
认 rfyr
刃 rfdd
妊 rfnr
纫 rfsr
扔 rgfn
仍 rgrn
日 rika
戎 rsgu
茸 rsce
蓉 rsck
荣 rscm
融 rsai
熔 rshk
溶 rsdk
容 rsbk
绒 rssu
冗 rsbj
揉 rzfm
柔 rzsm
肉 rznr
茹 ruck
蠕 ruie
儒 rure
孺 ruze
如 runk
辱 ruic
乳 rupv
汝 rudn
入 rupn
褥 rupc
软 rrir
阮 rree
蕊 rvcx
瑞 rvwe
锐 rvje
闰 rymw
润 rydw
若 rock
弱 rogd
撒 safw
洒 sadx
萨 saci
腮 sdox
鳃 sdax
塞 sebt
赛 sdbr
三 sjae
叁 sjss
伞 sjru
散 sjcw
桑 shym
嗓 shkm
丧 shun
搔 scfi
骚 scmi
扫 scfe
嫂 scny
瑟 sewb
色 sedb
涩 sedv
森 sfmm
僧 sgro
莎 socu
砂 uauu
杀 uaxm
刹 iaxd
沙 uadu
纱 uasu
傻 uarw
啥 uakk
煞 uadh
筛 udvj
晒 udox
珊 ujwc
苫 ujck
杉 ujmp
山 ujlk
删 ujcd
煽 ujhx
衫 ujpp
闪 ujmr
陕 ujej
擅 ujfd
赡 ujkk
膳 ujok
善 ujyk
汕 ujde
扇 ujhx
缮 ujsk
墒 uhtk
伤 uhrl
商 uhwk
赏 uhxr
晌 uhok
上 uhla
尚 uhxk
裳 ihxy
梢 scmo
捎 ucfo
稍 ucho
烧 uchw
芍 uccu
勺 ucbd
韶 uclk
少 ucxp
哨 ucko
邵 ucde
绍 ucsk
奢 uedo
赊 uekx
蛇 ueib
舌 ueqk
舍 uerk
赦 uetw
摄 npfy
射 ueuc
慑 uexy
涉 uedp
社 uept
设 ueyy
砷 ufuu
申 ufll
呻 ufku
伸 ufru
身 ufpp
深 ufdm
娠 ufnn
绅 ufsu
神 ufpu
沈 ufdv
审 ufbu
婶 ufnu
甚 ufqv
肾 uflo
慎 ufxb
渗 ufdp
声 ugup
生 ugpf
甥 ugul
牲 ugnu
升 ugpc
绳 ugsd
省 uguo
盛 igim
剩 ugqd
胜 ugou
圣 ugyt
师 uilj
失 uipf
狮 uiqj
施 uify
湿 uidy
诗 uiyc
尸 uivp
虱 uivi
十 uial
石 djak
拾 uifk
时 uioc
什 uiru
食 sirl
蚀 uiui
实 uibd
识 uiyb
史 uiln
矢 uipt
使 uirl
屎 uium
驶 uimu
始 uink
式 uiyg
示 uiex
士 uiua
世 uiav
柿 uimj
事 uial
拭 uifg
誓 uifk
逝 uizj
势 uifl
是 uior
嗜 uiko
噬 uika
适 uizk
仕 uiru
侍 uirc
释 uipl
饰 uiuj
氏 uipv
市 uiwj
恃 uixc
室 uibt
视 uipe
试 uiyg
收 uzvw
手 uzpl
首 uzbz
守 uzbc
寿 uzfc
授 uzfy
售 uzrk
受 uzpy
瘦 uzby
兽 uzbk
蔬 uucv
枢 uumx
梳 uumv
殊 uudv
抒 uufl
输 uuid
叔 uuuy
舒 uurl
淑 uudy
疏 uuvv
书 uuvd
赎 uukd
孰 uuww
熟 uuwh
薯 uuco
暑 uuoo
曙 uuoo
署 uuso
蜀 uusi
黍 uuhu
鼠 uujv
属 vuuy
术 uumd
述 uuzu
树 uumc
束 uuan
戍 uuwd
竖 uull
墅 uult
庶 uugh
数 uumw
漱 uudr
恕 uunx
刷 uxud
耍 uxen
摔 ukfu
衰 cvwy
甩 ukkv
帅 uklj
栓 urmw
拴 urfw
霜 ulyo
双 ulyy
爽 uldx
谁 uwyf
水 uvln
睡 uvoi
税 uvhe
吮 uyke
瞬 uyol
顺 uyir
舜 uypl
说 uoye
硕 uour
朔 uobo
烁 uohl
斯 siqj
撕 sifj
嘶 sikj
思 sitx
私 sihs
司 sivk
丝 siva
死 sidb
肆 siay
寺 sitc
嗣 sikk
四 sike
伺 cirk
似 sirr
饲 siuk
巳 sivv
松 ssms
耸 ssre
怂 ssrx
颂 ssbr
送 sszt
宋 ssbm
讼 ssys
诵 ssyy
搜 szfy
艘 szvy
擞 szfw
嗽 szkr
苏 sucb
酥 suyh
俗 surk
素 sufx
速 suzu
粟 suxm
僳 surm
塑 subt
溯 sudo
宿 subb
诉 suyi
肃 suvd
酸 sryw
蒜 srcx
算 srvc
虽 svki
隋 doeo
随 svez
绥 svsn
髓 svgz
碎 svuu
岁 svex
穗 svhx
遂 svzu
隧 svez
祟 svix
孙 syzx
损 syfr
笋 syvy
蓑 socy
梭 somw
唆 sokw
缩 sosb
琐 sowr
索 soux
锁 sojr
所 sopj
塌 tatx
他 tary
它 tabb
她 tany
塔 tatk
獭 taqr
挞 tafz
蹋 tazx
踏 tazo
胎 tdok
苔 tdck
抬 tdfk
台 tdsk
泰 tdfu
酞 tdyt
太 tddd
态 tdtx
汰 tddt
坍 tjtd
摊 tjff
贪 tjrr
瘫 tjbf
滩 tjdf
坛 tjts
檀 tjmd
痰 tjbh
潭 tjdu
谭 tjyu
谈 tjyh
坦 tjtd
毯 tjmh
袒 tjpd
碳 tjuh
探 tjfm
叹 tjky
炭 tjeh
汤 thdp
塘 thtk
搪 thfk
堂 thxt
棠 thxm
膛 thot
唐 thgk
糖 thmk
倘 thrk
躺 thuk
淌 ihdk
趟 thtk
烫 thdh
掏 tcff
涛 tcdc
滔 tcdj
绦 tcsm
萄 tccf
桃 tcmd
逃 tczd
淘 tcdf
陶 tcef
讨 tcyc
套 tcds
特 tenc
藤 tgcu
腾 tgom
疼 tgbd
誊 tgjk
梯 timp
剔 tiod
踢 tizw
锑 tijp
提 difr
题 tior
蹄 tizj
啼 tikj
体 tirb
替 tifo
嚏 tikr
惕 tixw
涕 tidp
剃 tibd
屉 tiuu
天 tmad
添 tmdx
填 tmtb
田 tmku
甜 tmqg
恬 tmxk
舔 tmqx
腆 tmob
挑 tnfd
条 tnwm
迢 tnzk
眺 tnod
跳 tnzd
贴 tpkk
铁 tpju
帖 tpjk
厅 tkid
听 tkkj
烃 tkhg
汀 tkdd
廷 tkzr
停 tkrd
亭 tkwd
庭 tkgz
挺 tkfz
艇 tkvz
通 tszy
桐 tsmk
酮 tsyk
瞳 tsol
同 tskk
铜 tsjk
彤 tsdp
童 tsll
桶 tsmy
捅 tsfy
筒 tsvk
统 tsse
痛 tsby
偷 tzrd
投 tzfy
头 tzdd
透 tzzn
凸 tula
秃 tuhj
突 tubq
图 tukd
徒 tuir
途 tuzh
涂 tudh
屠 tuuo
土 tuua
吐 tukt
兔 tudd
湍 trde
团 trkc
推 tvff
颓 tvhr
腿 tvoz
蜕 tvie
褪 tvpz
退 tvzg
吞 tytk
屯 tyav
臀 tyuo
拖 tofy
托 tofq
脱 tooe
鸵 tonb
陀 toeb
驮 tomd
驼 tomb
椭 tomo
妥 topn
拓 tafu
唾 toki
挖 wafv
哇 wakt
蛙 wait
洼 wadt
娃 want
瓦 waad
袜 wapm
歪 wdbv
外 wdxb
豌 wjav
弯 wjwg
湾 wjdg
玩 wjwe
顽 wjer
丸 wjpd
烷 wjhe
完 wjbe
碗 wjuv
挽 wjfv
晚 wjov
皖 wjbe
惋 wjxv
宛 wjbv
婉 wjnv
万 wjap
腕 wjov
汪 whdw
王 what
亡 whwv
枉 whmw
网 whkx
往 whiv
旺 whow
望 whww
忘 whwx
妄 whwn
威 wwwn
巍 wweg
微 wwiw
危 wwdv
韦 wwal
违 wwzw
桅 wwmv
围 wwkw
唯 wwkf
惟 wwxf
为 wwdd
潍 wwdf
维 wwsf
苇 wwcw
萎 wwcn
委 wwhn
伟 wwrw
伪 wwrw
尾 wwum
纬 wwsw
未 wwan
蔚 wwcc
味 wwkw
畏 wwtn
胃 wwto
喂 wwkn
魏 wwhg
位 wwrl
渭 wwdo
谓 wwyo
尉 wwuc
慰 wwux
卫 wwea
瘟 wfbm
温 wfdm
蚊 wfiw
文 wfwx
闻 wfme
纹 wfsw
吻 wfkw
稳 wfhx
紊 wfwx
问 wfmk
嗡 wgkx
翁 wgbx
瓮 wgbw
挝 wofz
蜗 woin
涡 godn
窝 wobn
我 wopd
斡 wouu
卧 woib
握 woft
沃 wody
巫 wugr
呜 wukw
钨 wujw
乌 wupa
污 wudk
诬 wuyr
屋 wuut
无 moav
芜 wucw
梧 wumk
吾 wuwk
吴 wukt
毋 wuva
武 wuav
五 wuaa
捂 wufk
午 wupg
舞 wupl
伍 wurw
侮 wurm
坞 wutw
戊 wuad
雾 wuyl
晤 wuok
物 wunw
勿 wubp
务 wuwl
悟 wuxk
误 wuyt
昔 xico
熙 xikh
析 ximj
西 xiaa
硒 xiux
晰 xioj
嘻 xikk
吸 xikj
锡 xijw
牺 xinx
稀 xihj
息 xizx
希 xixj
悉 xipx
膝 xiou
夕 xipd
惜 xixo
熄 xihx
烯 xihj
溪 xidd
汐 xidx
犀 xiun
檄 ximw
袭 xily
席 xigj
习 xivd
媳 xinx
喜 xiuk
铣 xije
洗 xide
系 jipx
隙 xiex
戏 xiyg
细 xist
瞎 xxok
虾 xxix
匣 xxkj
霞 xxyy
辖 xxik
暇 xxoy
峡 xxej
侠 xxrj
狭 xxqj
下 xxab
厦 uaiw
夏 xxaw
吓 hekx
掀 xmfr
锨 xmjr
先 xmne
仙 xmre
鲜 xmay
纤 qmsq
咸 xmwk
贤 xmlr
衔 xmii
舷 xmvy
闲 xmmm
涎 xmdz
弦 xmgy
嫌 xmnn
显 xmoy
险 xmea
现 xmwe
献 xmuq
县 xmqs
腺 xmou
馅 xmuj
羡 xmyr
宪 xmbe
陷 xmej
限 xmeg
线 xmsj
相 xlmo
厢 xlio
镶 xljy
香 xlho
箱 xlvo
襄 xlwy
湘 xldo
乡 xlvp
翔 xlyx
祥 xlpy
详 xlyy
想 xlmx
响 xlkk
享 xlwz
项 xlgr
巷 hhcs
橡 xlmn
像 xlrn
向 xlpk
象 xldn
萧 xncs
硝 xnuo
霄 xnyo
削 xnxd
哮 xnkz
嚣 xnkk
销 xnjo
消 xndo
宵 xnbo
淆 xndo
晓 xnow
小 xnld
孝 xnlz
校 jnmx
肖 xnxo
啸 xnks
笑 xnvy
效 xnww
楔 xpmd
些 sove
歇 xpor
蝎 xpiv
鞋 xpgt
协 xpub
挟 jxfj
携 xpfn
邪 xpye
斜 xpru
胁 xpob
谐 xpyb
写 xpby
械 xpmc
卸 xppe
蟹 xpdi
懈 xpxn
泄 xpdu
泻 xpdy
谢 xpyc
屑 xpuo
薪 xbcj
芯 xbcx
锌 xbju
欣 xbjr
辛 xblu
新 xblj
忻 xbxj
心 xbdd
信 xbrk
衅 xbxb
星 xkou
腥 xkou
猩 xkqu
惺 xkxu
兴 xkxb
刑 xkkd
型 xkkt
形 xkkp
邢 xkke
行 hgii
醒 xkyu
幸 xktg
杏 xkmk
性 xkxu
姓 xknu
兄 xske
凶 xsxk
胸 xsok
匈 xsbk
汹 xsdk
雄 xsuf
熊 xssh
休 xqrm
修 xqrp
羞 xqyi
朽 xqmv
嗅 xqkq
锈 xqjn
秀 xqhn
袖 xqpy
绣 xqsn
墟 xuty
戌 xuwa
需 xuye
虚 xuhy
嘘 uiky
须 xupr
徐 xuih
许 xuyw
蓄 xuct
酗 xuyk
叙 xury
旭 xujo
序 xugl
畜 iuwt
恤 xuxx
絮 xunx
婿 xuno
绪 xuso
续 xusd
轩 xrig
喧 xrkg
宣 xrbg
悬 xrqx
旋 xrfr
玄 xrwy
选 xrze
癣 xrby
眩 xroy
绚 xrso
靴 xtgb
薛 xtcu
学 xtxz
穴 xtbb
雪 xtye
血 xppm
勋 xykl
熏 xyph
循 xyio
旬 xybo
询 xyyo
寻 xyec
驯 xymi
巡 xyzv
殉 xydo
汛 xydu
训 xyyi
讯 xyyu
逊 xyzx
迅 xyzu
压 yaid
押 yafj
鸦 yayn
鸭 yajn
呀 yaky
丫 yabl
芽 yacy
牙 yaap
蚜 yaiy
崖 yaet
衙 yaii
涯 yadt
雅 yayf
哑 yaky
亚 yaay
讶 yayy
焉 yjvh
咽 yekd
阉 yjmd
烟 yjhd
淹 yjdd
盐 yjtm
严 yjyp
研 yjuk
蜒 yjiz
岩 yjeu
延 yjzv
言 yjwk
颜 yjir
阎 yjmj
炎 yjhh
沿 yjdk
奄 yjdd
掩 yjfd
眼 yjog
衍 yjii
演 yjdb
艳 yjfb
堰 yjtn
燕 yjnh
厌 yjiq
砚 yjue
雁 yjif
唁 yjkk
彦 yjip
焰 yjhj
宴 yjbn
谚 yjyp
验 yjma
殃 yhdy
央 yhlg
鸯 yhyn
秧 yhhy
杨 yhmp
扬 yhfp
佯 yhry
疡 yhbp
羊 yhbl
洋 yhdy
阳 yheo
氧 yhqy
仰 yhre
痒 yhby
养 yhyl
样 yhmy
漾 yhdy
邀 yczw
腰 ycon
妖 ycny
瑶 ycwf
摇 ycff
尧 ycaw
遥 yczf
窑 ycbf
谣 ycyf
姚 ycnd
咬 yckx
舀 ycpj
药 yccu
要 ycxn
耀 ycxf
椰 yeme
噎 yeka
耶 yeee
爷 yebe
野 yell
冶 yedk
也 yevv
页 year
掖 yefn
业 yela
叶 xpku
曳 yelp
腋 yeon
夜 yewn
液 yedn
一 yiaa
壹 yiua
医 yiku
揖 yife
铱 yijy
依 yiry
伊 yiry
衣 yiwy
颐 yikr
夷 yian
遗 wwzr
移 yihx
仪 yiry
胰 yioy
疑 nibr
沂 yidj
宜 yibq
姨 yiny
彝 yivc
椅 yimk
蚁 yiiy
倚 yirk
已 yivv
乙 yivv
矣 yisu
以 yivr
艺 yicv
抑 yife
易 yiow
邑 yikb
屹 yieq
亿 yirv
役 yiiy
臆 yiox
逸 yizd
肄 yiby
疫 yiby
亦 yiwd
裔 yiwk
意 yilx
毅 yily
忆 yixv
义 yidx
益 yibm
溢 yidm
诣 yiyo
议 yiyy
谊 yiyq
译 yiyl
异 yisc
翼 yixb
翌 yixl
绎 yisl
茵 ybcd
荫 ybco
因 ybkd
殷 ybpy
音 yblo
阴 ybeo
姻 ybnd
吟 ybkv
银 ybjg
淫 ybdr
寅 ybbb
饮 ybur
尹 ybvp
引 ybgl
隐 ybex
印 ybpe
英 ykcy
樱 ykmn
婴 ykkn
鹰 ykgn
应 ykga
缨 yksn
莹 ykcy
萤 ykci
营 ykck
荧 ykch
蝇 ykid
迎 ykze
赢 ykwf
盈 yknm
影 ykop
颖 ykbr
硬 ykug
映 ykoy
哟 yoku
拥 ysfy
佣 ysry
臃 ysof
痈 ysby
庸 ysgl
雍 yswf
踊 yszy
蛹 ysiy
咏 ysky
泳 ysdy
涌 ysdy
永 ysdn
恿 yssx
勇 yssl
用 yskl
幽 yzey
优 yzry
悠 yzrx
忧 yzxy
尤 yzud
由 yzla
邮 yzye
铀 yzjy
犹 yzqy
油 yzdy
游 yzdz
酉 yzaa
有 yzuo
友 yzuy
右 yzuk
佑 yzrk
釉 yzpy
诱 yzyn
又 yzvn
幼 yzyl
迂 yuzy
淤 yudd
于 yual
盂 yuym
榆 yumd
虞 yuht
愚 yuyx
舆 yupb
余 yurh
俞 yurd
逾 yuzd
鱼 yuda
愉 yuxd
渝 yudd
渔 yuda
隅 yuey
予 yusl
娱 yunt
雨 yuad
与 yuaa
屿 yuey
禹 yupd
宇 yuby
语 yuyk
羽 yuxx
玉 yuwd
域 yuta
芋 yucy
郁 yuue
吁 xuky
遇 yuzy
喻 yukd
峪 yuek
御 yuie
愈 yurx
欲 yubr
狱 yuqq
育 yuwo
誉 yuxk
浴 yudk
寓 yuby
裕 yupk
预 yusr
豫 yusn
驭 yumy
鸳 yrxn
渊 yrdl
冤 yrbd
元 yree
垣 yrtg
袁 yrty
原 yrix
援 yrfy
辕 yriy
园 yrke
员 yykr
圆 yrkr
猿 yrqy
源 yrdx
缘 yrsu
远 yrze
苑 yrcv
愿 yrix
怨 yrxx
院 yree
曰 ytka
约 ycsu
越 yttv
跃 ytzy
钥 ycjo
岳 ytqe
粤 ytpv
月 ytka
悦 ytxe
阅 ytme
耘 yyls
云 yyes
郧 yyke
匀 yybd
陨 yyer
允 yyse
运 yyzs
蕴 yycm
酝 yyys
晕 yyoi
韵 yyld
孕 yynz
匝 zakj
砸 zauj
杂 zajm
栽 zdum
哉 zduk
灾 zdbh
宰 zdbu
载 zdui
再 zdar
在 zdut
咱 zakz
攒 crfr
暂 zjio
赞 zjnr
赃 zhkt
脏 zhot
葬 zhcc
遭 zczo
糟 zcmo
凿 zcyk
藻 zccm
枣 zcad
早 zcou
澡 zcdm
蚤 zcii
躁 zczm
噪 zckm
造 zczk
皂 zcbq
灶 zcht
燥 zchm
责 zefr
择 vdfl
则 zekd
泽 zedl
贼 zwku
怎 zfvx
增 zgto
憎 zgxo
曾 cgbo
赠 zgko
扎 vafv
喳 iakd
渣 vadd
札 vamv
轧 gaiv
铡 vajd
闸 vamj
眨 vaof
栅 cemc
榨 vamv
咋 vakv
乍 vapa
炸 vahv
诈 vayv
摘 vdfk
斋 vdwe
宅 vdbq
窄 vdbv
债 vdrr
寨 vdbm
瞻 vjok
毡 vjmk
詹 vjdk
粘 nmmk
沾 vjdk
盏 vjjm
斩 vjij
辗 nmin
崭 vjej
展 vjun
蘸 vjch
栈 vjmj
占 vjlk
战 vjlg
站 vjlk
湛 vjdv
绽 vjsr
樟 vhmu
章 vhlu
彰 vhlp
漳 vhdu
张 vhgi
掌 vhxu
涨 vhdi
杖 vhmv
丈 vhan
帐 vhji
账 vhki
仗 vhrv
胀 vhoi
瘴 vhbu
障 vheu
招 vcfk
昭 vcok
找 vcfg
沼 vcdk
赵 vctx
照 vcoh
罩 vcsu
兆 vced
肇 vchy
召 ucdk
遮 vezh
折 uefj
哲 vefk
蛰 vefi
辙 veiw
者 velo
锗 vejo
蔗 vech
这 vezw
浙 vedj
珍 vfwp
斟 vfqu
真 vfub
甄 vfxw
砧 vfuk
臻 vfah
贞 vflr
针 vfju
侦 vfrr
枕 vfmv
疹 vfbp
诊 vfyp
震 vfyn
振 vffn
镇 vfjb
阵 vfei
蒸 vgch
挣 vgfl
睁 vgol
征 vgiv
狰 vgql
争 vgdl
怔 vgxv
整 vguv
拯 vgfa
正 vgav
政 vgvw
帧 vfjr
症 vgbv
郑 vgbe
证 vgyv
芝 vicv
枝 vimy
支 viuy
吱 viky
蜘 viik
知 viuk
肢 vioy
脂 vioo
汁 vidu
之 vidn
织 visb
职 vieb
直 viuq
植 vimq
殖 uidq
执 vifw
值 virq
侄 virt
址 vitv
指 vifo
止 vila
趾 vizv
只 vikb
旨 vibo
纸 visu
志 viux
挚 vifu
掷 vife
至 viat
致 viaw
置 visq
帜 vijb
峙 uiec
制 vipd
智 viuo
秩 vihu
稚 vihf
质 vipr
炙 viph
痔 vibc
滞 vidj
治 vidk
窒 vibt
中 vsll
盅 vsvm
忠 vsvx
钟 vsjv
衷 vswy
终 vssd
种 vshv
肿 vsov
重 ispa
仲 vsrv
众 vsrr
舟 vzpd
周 vzkk
州 vzdl
洲 vzdl
诌 vzye
粥 vzgg
轴 vziy
肘 vzoc
帚 vzej
咒 vzkj
皱 vzdy
宙 vzby
昼 vzid
骤 vzmn
珠 vuwv
株 vumv
蛛 vuiv
朱 vupw
猪 vuqo
诸 vuyo
诛 vuyv
逐 vuzu
竹 vupl
烛 vuhi
煮 vulh
拄 vufv
瞩 vuoy
嘱 vuky
主 vudw
著 voco
柱 vumv
助 vuql
蛀 vuiv
贮 vuka
铸 vujc
筑 vuvf
住 vurv
注 vudv
祝 vupe
驻 vumv
抓 vxfv
爪 vcpn
拽 vkfy
专 vrad
砖 vruv
转 vriv
撰 vrfb
赚 vrkn
篆 vrvu
桩 vlmt
庄 vlgt
装 vldy
妆 vldn
撞 vlfl
壮 vldu
状 vldq
椎 ivmf
锥 vvjf
追 dvzk
赘 vvfr
坠 vvet
缀 vvsy
谆 vyyz
准 vydf
捉 vofr
拙 vofi
卓 volu
桌 volm
琢 vown
茁 voci
酌 voyu
啄 vokn
着 vcyo
灼 vohu
浊 vodi
兹 ciby
咨 zidk
资 zidr
姿 zidn
滋 zidy
淄 zidt
孜 zizw
紫 zivx
仔 zdrz
籽 zimz
滓 zidu
子 ziva
自 zipo
渍 zidr
字 zibz
鬃 zsax
棕 zsmx
踪 zszx
宗 zsbx
综 zgsx
总 zsbx
纵 zssr
邹 zzde
走 zztr
奏 zzft
揍 zzft
租 zuhq
足 zukr
卒 cuwu
族 zufu
祖 zupq
诅 zuyq
阻 zueq
组 zusq
钻 zrjk
纂 zrvx
嘴 zvky
醉 zvyu
最 zvoy
罪 zvsf
尊 zybc
遵 zyzc
昨 zoov
左 zoug
佐 zorg
柞 zomv
做 zorw
作 zorv
坐 zort
座 zogt
亍 iuad
兀 wuae
丐 gdav
廿 nmca
卅 saal
丕 piba
亘 gfad
丞 igla
鬲 geal
孬 ncbz
噩 eewk
禺 yuld
匕 bipv
夭 ycpd
爻 ycxx
卮 vipv
氐 diud
囟 xbpx
胤 ybpv
馗 kvjz
毓 yupv
睾 gcpg
鼗 tcey
亟 jila
鼐 ndnv
乜 mpvv
乩 jilv
亓 qiel
芈 mill
孛 bwuz
啬 seuk
嘏 guuy
仄 zeir
厍 ueii
厝 coio
厣 yjij
厥 jtir
厮 siij
靥 yeim
赝 yjir
叵 pokk
匦 gvkj
匮 kvkr
匾 bmkc
赜 zeir
卦 gxtb
卣 yzla
刈 yixd
刎 wfwd
刭 jkvd
刳 kudd
刿 gved
剀 kded
剌 laud
剞 jidd
剡 ujhd
剜 wjbd
蒯 kkcd
剽 pnxd
劂 jtid
劁 qnrd
劐 hocd
劓 yizd
罔 whkw
仃 dkrd
仉 vhrj
仂 lerl
仨 sars
仡 gerq
仫 murm
仞 rfrr
伛 yurx
仳 pirb
伢 yary
佤 warw
仵 wurw
伥 ihri
伧 chrv
伉 khrj
伫 vura
佞 nkrn
攸 yzrw
佚 yiru
佝 gzrk
佟 tsrd
佗 torb
伲 nirb
伽 gark
佶 jirk
佴 erre
侑 yzro
侉 kxrk
侃 kjrv
侏 vurv
佾 yiro
佻 tnrd
侪 idrl
佼 jnrx
侬 nsrn
侔 mzrn
俦 izrc
俨 yjry
俪 lirl
俅 qqrq
俚 lirl
俣 yurt
俜 pkrv
俑 ysry
俟 siru
俸 fgrl
倩 qkro
偌 rork
俳 pdrf
倬 voru
倏 uurq
倮 lorg
倭 worn
俾 biru
倜 tirk
倌 grrk
倥 ksrg
倨 jurk
偾 ffrr
偃 yjrn
偕 xprb
偈 jirv
偎 wwrn
偬 zsrx
偻 lvrn
傥 thre
傧 bbrb
傩 norf
傺 iirx
僖 xirk
儆 jkrw
僭 jmro
僬 jnrh
僦 jqry
僮 tsrl
儇 xrry
儋 djrk
仝 tsrg
佘 uerx
佥 qmra
俎 zurq
龠 ytrc
汆 crru
籴 dirm
兮 xibv
巽 xysb
黉 hsxb
馘 goba
冁 ijbn
夔 kvbw
匍 pubf
訇 hsbk
匐 fubt
凫 fupj
夙 sujd
兕 siae
